DST_Distr_age,DST_Distr_tenure,DST_Distr_typ_A,DST_Distr_typ_B,PD_APE,PD_Prod_code_A01,PD_Prod_code_A09,PD_Prod_code_A10,PD_Prod_code_A15,PD_Prod_code_A18,PD_Prod_code_A21,PD_Prod_code_A22,PD_cover_amt,PD_issue_qtr_Q1,PD_issue_qtr_Q3,PD_issue_qtr_Q4,PH_Issue_age
40.0,3.0,0,0,10653,0,0,0,0,0,0,0,144000,1,0,0,38
39.0,5.0,0,0,5840,1,0,0,0,0,0,0,75000,0,0,1,40
53.0,4.0,0,0,20025,0,0,1,0,0,0,0,300000,1,0,0,30
38.0,3.0,1,0,4578,0,0,0,0,0,0,0,25000,1,0,0,28
27.0,1.0,0,0,96385,0,0,1,0,0,0,0,1150450,0,0,1,20
24.0,4.0,0,0,8591,0,0,0,0,0,0,0,75000,0,1,0,47
31.0,3.0,0,0,6023,1,0,0,0,0,0,0,82000,0,1,0,23
28.0,4.0,0,0,12411,0,1,0,0,0,0,0,150000,1,0,0,53
31.0,3.0,0,0,15335,0,0,1,0,0,0,0,165500,1,0,0,33
62.0,4.0,1,0,9696,0,0,0,0,0,0,0,86060,0,1,0,34
